Wavelength (nm),Blue,Green,Yellow,Orange,Red,Ultraviolet,Infrared
514.0,266.02,2567.9,167.96,164.96,170.99,179.29,154.93
515.0,252.91,2760.11,169.16,163.44,163.46,160.67,151.07
516.0,247.96,2980.43,166.83,165.5,165.55,166.27,150.8
517.0,233.64,3194.55,165.97,162.89,163.84,158.81,152.57
518.0,233.45,3373.11,169.44,169.51,171.63,204.38,163.02
519.0,229.56,3566.79,165.69,164.98,161.69,150.2,150.17
520.0,226.09,3692.04,165.21,165.54,163.85,156.92,147.35
521.0,219.51,3838.05,164.09,164.41,162.03,147.78,146.38
522.0,212.99,3950.28,163.83,164.2,166.12,156.44,150.65
523.0,213.84,3980.92,169.09,166.19,161.83,153.44,151.96
524.0,205.24,4032.79,165.82,164.0,161.98,155.99,151.69
525.0,205.5,4019.94,167.99,166.7,160.99,155.13,149.95
526.0,201.16,3932.99,166.46,166.58,161.02,174.5,157.28
527.0,194.13,3904.21,165.72,164.29,161.53,155.31,152.65
528.0,195.82,3804.79,163.1,162.98,165.21,158.89,153.17
529.0,192.9,3698.43,167.32,163.47,165.78,154.42,152.74
530.0,190.3,3602.32,170.07,168.78,161.77,157.13,152.78
531.0,193.32,3463.15,163.28,166.43,165.21,158.18,154.62
532.0,187.34,3308.1,167.95,159.14,162.44,158.13,150.38
533.0,185.68,3203.11,167.0,168.06,163.65,156.4,153.98
534.0,188.28,3044.04,163.94,166.62,162.14,156.18,148.93
535.0,188.12,2900.73,166.65,165.35,161.16,154.09,152.15
536.0,183.97,2773.81,161.96,165.76,162.22,163.31,153.47
537.0,180.44,2648.18,170.21,164.85,163.07,171.36,155.46
538.0,176.0,2530.51,164.44,162.97,164.29,159.28,148.91
539.0,183.0,2409.72,162.85,163.94,163.96,156.95,151.01
540.0,181.68,2299.33,167.93,162.52,164.35,159.13,150.37
541.0,176.86,2187.44,169.35,167.2,165.85,174.28,150.15
542.0,179.87,2068.59,169.38,162.9,166.78,176.08,151.05
543.0,178.37,1984.6,164.47,165.96,165.04,168.85,148.96
544.0,178.05,1865.74,166.17,164.93,166.2,170.34,152.17
545.0,175.72,1774.61,168.67,166.07,164.4,174.02,156.3
546.0,167.8,1673.92,168.3,159.35,166.05,178.41,148.49
547.0,175.73,1581.21,167.41,162.24,162.8,164.21,150.13
548.0,175.42,1488.94,166.54,159.31,165.19,165.52,151.51
549.0,171.14,1399.57,171.43,160.74,161.99,161.55,149.84
550.0,174.99,1323.75,168.01,167.21,160.05,166.78,148.59
551.0,172.91,1236.22,170.65,164.32,171.77,178.05,156.55
552.0,172.86,1173.37,171.13,162.61,163.45,162.23,147.71
553.0,171.03,1077.51,169.44,160.8,159.75,155.37,151.84
554.0,173.37,996.33,177.37,163.37,164.7,158.56,150.76
555.0,171.83,963.45,180.07,167.93,146.81,163.64,153.76
556.0,173.07,875.53,186.23,165.88,162.57,155.94,146.49
557.0,172.81,829.4,187.05,162.52,162.83,159.83,154.02
558.0,172.42,775.4,190.67,165.64,160.11,152.74,148.56
559.0,167.52,732.15,203.53,164.55,165.6,154.23,143.43
560.0,172.31,684.91,209.18,164.24,164.45,157.02,148.55
561.0,173.03,643.92,217.99,166.04,169.01,162.12,148.99
562.0,168.01,610.02,229.25,157.35,164.96,156.01,148.38
563.0,166.69,562.88,236.65,167.1,168.38,152.68,148.08
564.0,172.26,552.17,247.51,163.76,167.18,162.16,154.65
565.0,169.59,517.42,266.34,166.47,163.99,153.89,144.07
566.0,171.37,490.74,282.24,165.12,159.86,153.4,152.19
567.0,168.98,465.0,297.01,162.0,160.99,153.02,150.0
568.0,170.87,447.56,321.05,161.78,165.91,161.05,148.06
569.0,168.39,430.2,339.22,167.4,160.57,160.31,148.02
570.0,167.32,415.13,361.55,163.11,164.4,162.3,150.2
571.0,172.19,399.8,398.78,166.94,164.21,162.54,148.96
572.0,170.11,380.53,426.74,168.08,162.82,153.95,150.19
573.0,170.93,361.03,468.13,166.98,159.94,155.81,145.93
574.0,169.75,352.79,516.73,167.91,162.68,146.29,148.95
575.0,168.92,335.71,566.55,166.91,165.3,155.08,147.65
576.0,165.24,330.17,620.12,176.04,166.75,156.81,149.94
577.0,169.86,317.94,693.57,170.1,167.9,191.49,157.49
578.0,168.58,306.15,767.18,172.2,162.22,156.76,147.07
579.0,165.02,297.29,834.15,177.53,163.01,158.09,150.96
580.0,163.79,290.77,954.43,172.12,164.69,153.06,150.12
581.0,165.37,277.24,1088.94,175.75,168.66,181.96,157.2
582.0,166.08,270.93,1245.03,172.19,166.82,160.31,149.17
583.0,167.33,265.73,1385.79,183.23,166.49,162.63,152.74
584.0,169.35,253.98,1535.69,183.47,168.29,173.89,159.14
585.0,170.16,256.41,1743.66,187.45,167.44,172.72,155.24
586.0,165.0,244.01,2012.87,190.0,163.0,158.99,149.0
587.0,172.71,235.44,2244.76,191.56,164.01,155.79,147.36
588.0,169.73,231.91,2559.4,196.91,163.25,162.52,154.71
589.0,167.84,224.36,2873.41,202.34,169.29,167.14,153.53
590.0,168.47,217.88,3149.59,202.7,168.23,161.01,150.08
591.0,168.44,219.09,3440.68,207.31,165.48,154.43,147.35
592.0,168.54,219.77,3759.44,217.93,167.49,154.56,147.42
593.0,165.0,212.24,4001.73,221.94,174.04,160.31,154.05
594.0,164.73,208.86,4093.2,233.71,171.66,157.54,146.73
595.0,164.51,208.18,4001.06,241.08,167.73,156.98,148.61
596.0,165.52,201.1,3712.85,254.8,165.96,158.07,151.07
597.0,169.1,202.57,3290.06,261.79,171.04,162.21,152.27
598.0,166.01,196.26,2866.67,282.46,171.94,159.67,149.53
599.0,170.06,199.82,2531.25,293.73,173.65,160.36,149.92
600.0,163.97,202.02,2169.48,307.0,173.01,150.97,145.99
601.0,165.97,194.43,1876.45,325.6,173.65,155.48,150.48
602.0,166.39,191.22,1611.85,346.86,174.3,159.79,148.25
603.0,165.18,190.44,1379.56,361.98,176.6,152.43,152.36
604.0,168.23,190.11,1203.42,382.91,179.44,152.99,150.31
605.0,164.0,188.98,1055.29,408.3,187.92,164.09,151.66
606.0,168.61,179.94,926.23,436.51,181.27,158.94,152.32
607.0,166.65,183.25,800.77,456.46,187.37,148.1,150.8
608.0,166.18,181.09,690.34,498.4,194.31,162.27,151.75
609.0,166.38,180.19,604.65,512.74,189.7,159.43,149.3
610.0,164.7,182.07,514.39,554.61,202.38,156.92,151.31
611.0,167.86,180.4,470.21,590.19,203.26,171.36,154.7
612.0,163.11,172.15,405.27,632.55,205.99,171.01,153.58
613.0,167.12,175.84,373.26,690.09,208.04,158.03,150.38
614.0,166.5,172.28,348.16,737.93,214.83,160.21,149.43
615.0,168.03,175.77,314.76,800.99,227.79,169.57,151.89
616.0,168.71,175.14,288.96,886.18,229.36,168.65,158.29
617.0,161.48,172.28,267.77,982.1,236.13,162.86,148.64
618.0,164.31,179.81,257.92,1047.89,249.97,178.16,152.66
619.0,166.69,170.24,241.3,1183.1,256.51,153.58,146.84
620.0,169.06,173.53,230.34,1323.9,265.9,150.16,153.13
621.0,165.59,176.46,219.82,1473.03,285.97,155.11,147.47
622.0,174.41,171.16,210.67,1657.78,299.16,159.66,155.33
623.0,166.33,171.04,201.57,1830.95,310.26,155.1,146.76
624.0,163.87,169.05,198.95,2047.35,328.82,150.01,148.92
625.0,169.78,169.27,192.4,2284.55,355.85,152.75,146.63
626.0,166.05,170.51,188.14,2490.72,362.51,155.59,148.74
627.0,169.29,169.42,181.72,2769.01,390.06,156.59,154.46
628.0,161.64,172.91,185.03,2971.98,422.89,155.33,149.39
629.0,169.75,168.78,177.17,3217.78,456.37,183.98,155.22
630.0,169.42,174.19,182.59,3410.79,480.76,199.11,151.42
631.0,166.5,168.26,180.02,3655.08,521.0,155.3,151.91
632.0,167.95,166.95,176.63,3808.38,556.78,148.62,149.99
633.0,164.02,170.0,173.0,3888.78,601.97,147.04,151.0
634.0,168.03,169.73,170.76,3880.05,649.14,148.93,151.53
635.0,165.92,168.25,174.47,3687.58,714.6,152.66,145.99
636.0,170.85,166.92,173.42,3466.82,783.16,164.02,150.48
637.0,166.8,165.98,164.22,3100.16,849.35,154.76,148.65
638.0,164.64,170.28,168.5,2622.55,919.99,151.95,153.39
639.0,164.0,168.4,169.4,2182.08,1022.48,157.37,150.93
640.0,167.39,170.49,166.61,1814.86,1105.76,152.36,146.85
641.0,169.98,163.13,161.6,1479.72,1209.52,149.42,149.69
642.0,166.98,168.95,170.64,1243.03,1370.5,152.97,148.86
643.0,163.03,165.96,167.01,1039.47,1456.69,148.03,147.02
644.0,164.13,168.83,162.49,876.05,1652.2,173.68,153.35
645.0,161.99,168.21,165.45,762.67,1821.63,152.5,147.48
646.0,169.5,168.96,168.86,661.91,1975.27,152.08,149.82
647.0,165.65,169.24,165.97,575.94,2206.26,157.49,142.91
648.0,164.94,169.93,166.6,511.96,2409.8,148.84,145.42
649.0,165.31,165.76,162.67,440.69,2661.08,158.14,145.13
650.0,170.89,169.05,166.45,394.91,2891.43,156.18,148.47
651.0,169.38,164.26,168.11,342.98,3141.74,155.92,149.56
652.0,167.81,168.3,168.3,321.66,3417.52,154.44,154.88
653.0,167.34,167.99,166.11,294.15,3662.23,151.98,149.95
654.0,163.0,167.0,166.01,267.99,3791.11,155.99,153.0
655.0,168.02,168.89,161.82,252.29,3991.11,156.06,154.26
656.0,165.03,164.62,166.32,240.37,3978.82,153.38,149.66
657.0,167.34,167.95,163.4,223.45,3930.67,151.95,149.33
658.0,168.04,162.48,165.72,209.85,3856.18,150.08,146.24
659.0,163.92,164.55,161.87,202.87,3687.63,159.82,150.1
660.0,165.43,163.1,166.98,197.08,3564.2,158.28,151.92
661.0,164.93,164.31,165.24,188.98,3331.97,151.37,155.08
662.0,165.65,163.28,162.84,185.22,3141.35,150.81,151.51
663.0,164.92,164.99,163.34,183.68,2945.5,161.42,153.01
664.0,165.89,164.31,165.08,186.02,2744.35,153.02,149.83
665.0,166.38,164.39,167.67,179.22,2552.21,149.23,153.93
666.0,165.85,164.0,163.03,177.01,2410.94,157.96,146.08
667.0,165.99,165.97,168.01,176.96,2271.39,153.94,148.99
668.0,163.87,165.87,170.08,179.06,2126.53,175.34,158.82
669.0,165.28,165.7,165.45,174.68,2001.04,161.86,153.26
670.0,164.96,166.72,164.39,168.5,1848.72,150.27,150.21
671.0,168.75,164.52,161.94,171.58,1740.19,159.89,155.76
672.0,165.84,168.09,160.95,170.52,1615.5,154.73,149.77
673.0,161.59,165.36,168.18,170.09,1461.06,158.93,156.6
674.0,164.56,165.65,164.23,171.36,1321.84,148.91,151.19
675.0,169.6,168.59,162.82,164.48,1171.37,153.23,153.72
676.0,166.87,168.06,164.94,164.02,1046.63,153.31,153.24
677.0,170.54,164.72,163.99,164.8,938.86,149.89,155.56
678.0,163.07,167.71,161.3,167.6,833.9,156.18,151.17
679.0,166.75,163.51,164.37,165.51,728.37,153.24,153.28
680.0,165.2,163.28,164.46,163.5,658.37,155.05,148.31
681.0,160.89,167.68,162.31,164.98,578.83,153.0,152.12
682.0,158.16,164.82,164.07,166.12,510.48,153.88,154.15
683.0,168.01,167.99,165.99,163.01,455.04,155.02,154.99
684.0,164.04,168.19,169.75,168.9,420.99,186.83,162.6
685.0,166.41,164.61,165.81,167.09,388.81,179.3,154.75
686.0,165.02,164.05,163.77,164.57,342.28,155.4,150.21
687.0,167.25,168.77,168.56,168.17,320.57,187.67,160.21
688.0,163.33,164.59,162.04,161.84,291.82,153.41,150.71
689.0,166.3,162.69,166.08,161.64,269.99,149.26,150.61
690.0,163.95,170.13,161.84,164.93,251.12,148.18,148.83
691.0,166.3,173.6,167.63,165.52,246.02,190.72,159.23
692.0,160.99,164.29,163.86,160.6,230.81,171.89,157.58
693.0,167.54,167.04,167.68,163.48,226.0,187.57,157.07
694.0,168.54,161.14,160.68,163.14,214.02,156.19,148.77
695.0,169.81,166.0,163.86,166.82,208.05,154.73,149.01
696.0,166.02,167.03,166.33,164.06,201.92,151.14,150.11
697.0,165.48,165.84,165.81,161.4,193.08,148.73,145.93
698.0,162.21,166.79,168.72,164.0,195.99,173.4,157.04
699.0,167.32,162.06,159.96,161.64,181.46,155.72,150.75
700.0,178.94,160.83,160.79,165.77,180.45,161.78,152.85
701.0,160.78,165.21,164.31,165.07,179.23,152.99,151.08
702.0,168.6,168.69,162.88,161.77,177.15,162.85,150.79
703.0,167.97,165.74,161.36,165.34,172.72,159.49,152.23
704.0,163.91,164.97,159.96,162.04,172.82,150.04,149.95
705.0,164.07,162.1,162.93,164.79,179.96,183.93,160.04
706.0,165.87,169.2,164.95,165.9,170.91,148.94,150.08
707.0,166.06,160.88,163.94,163.09,163.97,155.7,149.02
708.0,170.0,166.01,162.0,162.99,170.0,157.99,152.98
709.0,164.04,164.99,164.01,156.05,160.86,164.89,145.68
710.0,169.23,168.29,161.78,163.12,168.91,185.71,161.87
711.0,166.05,167.9,166.93,166.43,164.84,155.66,149.85
712.0,161.96,163.61,162.68,162.74,167.83,155.04,150.89
713.0,164.33,162.04,159.88,163.22,161.84,148.46,147.43
714.0,173.56,165.45,166.6,163.43,164.87,147.77,152.84
715.0,162.54,166.63,162.12,159.61,169.48,149.2,148.63
716.0,168.16,164.28,161.81,164.43,168.23,150.34,151.74
717.0,164.18,165.57,164.17,159.52,165.11,147.14,149.7
718.0,154.9,161.52,161.45,163.09,170.0,154.27,147.4
719.0,162.09,164.01,163.97,169.93,164.3,158.8,154.04
720.0,164.07,168.06,165.43,162.02,162.24,157.45,151.14
721.0,167.84,164.83,164.15,163.44,170.83,153.43,151.55
722.0,166.05,164.95,164.62,163.39,163.48,152.2,150.19
723.0,167.69,158.31,161.07,163.46,163.22,147.03,150.34
724.0,168.76,163.97,159.14,162.65,161.5,152.61,155.71
725.0,166.9,163.39,162.25,160.97,169.09,156.13,155.31
726.0,163.31,165.14,162.32,163.72,163.77,151.17,153.85
727.0,167.63,163.8,165.2,161.65,156.34,153.76,149.91
728.0,164.29,169.22,160.97,164.26,163.15,157.8,151.69
729.0,168.59,165.62,164.17,161.29,160.77,148.71,149.97
730.0,165.67,166.86,164.78,162.33,165.62,150.86,148.7
731.0,169.35,162.82,167.89,166.09,162.42,153.79,153.24
732.0,168.3,164.41,166.28,165.07,163.07,150.57,149.18
733.0,166.9,163.3,163.62,163.22,166.15,150.54,149.32
734.0,166.21,161.92,162.51,162.03,164.82,154.05,151.75
735.0,164.7,164.03,160.68,161.63,160.02,147.03,147.73
736.0,166.84,162.26,161.8,160.3,147.79,147.68,148.43
737.0,167.14,159.94,163.28,159.51,160.61,133.13,145.59
738.0,166.1,165.89,160.31,164.98,160.9,141.61,150.62
739.0,167.51,164.3,163.85,162.28,161.45,159.95,151.27
740.0,169.18,166.09,163.96,162.81,160.21,153.35,149.37
741.0,165.58,164.99,161.25,162.47,161.03,154.51,149.82
742.0,162.77,161.8,159.88,165.22,161.13,146.84,149.53
743.0,165.41,170.46,167.08,164.76,163.27,152.53,149.49
744.0,168.96,164.73,163.42,160.01,161.19,153.26,149.79
745.0,166.09,163.29,165.67,165.12,160.07,151.0,151.21
746.0,167.82,166.18,162.59,164.98,161.25,155.74,155.95
747.0,166.17,162.43,160.52,164.09,161.13,154.05,152.74
748.0,168.72,164.89,164.11,162.13,164.98,149.54,152.01
749.0,163.17,164.86,165.82,164.01,164.35,151.73,154.55
750.0,167.25,170.95,159.03,160.15,161.89,155.51,147.05
751.0,164.06,165.85,159.95,162.05,157.85,156.77,154.01
752.0,164.01,167.0,166.03,163.05,160.99,151.02,150.0
753.0,164.03,165.94,167.94,163.96,163.99,155.91,152.0
754.0,165.9,162.0,162.19,165.58,143.92,157.35,154.21
755.0,166.86,164.04,159.81,166.04,160.16,145.26,147.2
756.0,166.68,167.14,163.98,159.37,163.09,161.95,148.59
757.0,168.26,164.79,165.3,166.15,163.3,171.57,153.53
758.0,164.62,166.95,169.67,165.29,173.58,243.36,166.98
759.0,163.53,165.76,160.06,162.94,166.32,152.7,152.98
